                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.51822,                0.29639,                0.94328,                0.93613,                0.85397,                0.92414,                 0.8245,                0.47091,                0.72909,                0.92824,             0.00048275,             0.00048275,             0.00048275
                     64,                0.49104,                0.28208,                0.92673,                 0.9227,                0.85655,                0.92168,                0.83085,                0.47775,                0.71637,                0.93407,             0.00047038,             0.00047038,             0.00047038
                     65,                0.51209,                0.30836,                0.93823,                0.86481,                0.97961,                0.98327,                0.88437,                0.47594,                0.63833,                0.93102,               0.000458,               0.000458,               0.000458
                     66,                0.49666,                 0.2883,                0.93672,                0.93846,                0.97647,                0.98545,                  0.907,                0.41414,                0.42415,                 0.9107,             0.00044563,             0.00044563,             0.00044563
                     67,                0.49917,                0.28322,                0.93989,                0.99225,                0.86165,                0.92908,                0.83278,                0.45528,                0.70586,                0.92225,             0.00043325,             0.00043325,             0.00043325
                     68,                0.49573,                0.29101,                0.93899,                0.87739,                0.90259,                0.94765,                0.84789,                0.44584,                0.48927,                0.92379,             0.00042087,             0.00042087,             0.00042087
                     69,                0.50164,                0.28286,                0.93811,                0.93572,                0.84879,                0.92196,                0.81072,                0.47245,                0.61129,                0.93816,              0.0004085,              0.0004085,              0.0004085
                     70,                0.50054,                0.27986,                0.94317,                0.99641,                 0.7821,                0.89152,                0.79384,                0.46282,                0.68955,                0.93998,             0.00039613,             0.00039613,             0.00039613
                     71,                0.49861,                0.27632,                 0.9358,                0.99634,                0.77455,                0.87324,                0.76284,                0.48456,                0.82068,                0.95175,             0.00038375,             0.00038375,             0.00038375
                     72,                0.48639,                0.27375,                0.93257,                0.99632,                0.79244,                0.90989,                0.80697,                0.44935,                0.58138,                 0.9329,             0.00037138,             0.00037138,             0.00037138
                     73,                0.49376,                0.27357,                0.94051,                0.95724,                0.84008,                0.91802,                 0.8182,                0.44766,                 0.6367,                0.93363,               0.000359,               0.000359,               0.000359
                     74,                 0.4894,                0.27049,                0.93524,                0.93323,                0.86675,                0.92808,                0.83827,                0.44784,                0.63535,                0.92409,             0.00034663,             0.00034663,             0.00034663
                     75,                0.48654,                0.27553,                0.93419,                0.99631,                0.75835,                0.88568,                0.77803,                0.51029,                0.88858,                 0.9608,             0.00033425,             0.00033425,             0.00033425
                     76,                0.49151,                0.27142,                0.93319,                0.89116,                0.93906,                0.96558,                0.87602,                0.44252,                0.58168,                0.92594,             0.00032188,             0.00032188,             0.00032188
                     77,                  0.499,                   0.28,                0.93952,                0.99632,                0.78402,                0.92481,                0.82979,                0.45128,                0.59182,                0.92869,              0.0003095,              0.0003095,              0.0003095
                     78,                0.48682,                0.26426,                 0.9307,                0.99635,                0.78483,                0.91158,                0.81656,                0.43215,                0.57125,                0.91447,             0.00029713,             0.00029713,             0.00029713
                     79,                0.47676,                0.26365,                0.93017,                0.91064,                0.87388,                0.92977,                0.82245,                0.45206,                0.52208,                0.92397,             0.00028475,             0.00028475,             0.00028475
                     80,                0.48374,                0.26094,                0.93072,                0.90796,                 0.8924,                0.93461,                0.83947,                0.46012,                0.69504,                0.93014,             0.00027237,             0.00027237,             0.00027237
                     81,                  0.477,                0.25726,                0.93248,                0.94019,                0.84573,                0.91966,                0.82972,                0.45202,                0.67836,                0.92181,                0.00026,                0.00026,                0.00026
                     82,                0.47046,                0.25567,                0.92525,                0.95495,                0.83647,                0.91309,                0.81862,                0.45974,                0.64541,                0.92153,             0.00024762,             0.00024762,             0.00024762
                     83,                 0.4835,                0.25591,                0.93181,                0.93476,                 0.8222,                0.90374,                0.80553,                0.47158,                0.83787,                0.93652,             0.00023525,             0.00023525,             0.00023525
                     84,                0.48583,                0.25463,                0.93584,                 0.9963,                0.77481,                0.90573,                0.81338,                0.47406,                0.72113,                0.92868,             0.00022288,             0.00022288,             0.00022288
                     85,                0.46968,                0.25515,                0.92943,                0.98408,                0.85185,                0.92389,                0.82242,                0.45148,                0.59488,                0.92136,              0.0002105,              0.0002105,              0.0002105
                     86,                0.47398,                0.24933,                0.92727,                0.88602,                0.86675,                0.93132,                0.81492,                0.47553,                0.71083,                0.93631,             0.00019813,             0.00019813,             0.00019813
                     87,                0.46334,                0.25254,                0.92298,                0.99634,                0.78939,                0.92975,                0.83068,                0.46164,                0.59651,                 0.9269,             0.00018575,             0.00018575,             0.00018575
                     88,                0.46667,                0.24482,                0.92359,                0.99632,                0.77855,                0.92586,                0.80814,                0.49639,                0.76171,                0.94538,             0.00017338,             0.00017338,             0.00017338
                     89,                0.47483,                0.24974,                0.92815,                0.92464,                0.86416,                0.93023,                0.82897,                0.45618,                0.56485,                0.92627,               0.000161,               0.000161,               0.000161
                     90,                0.46761,                0.25238,                0.92362,                0.91835,                0.90008,                0.94628,                0.84331,                 0.4638,                0.60934,                0.92962,             0.00014862,             0.00014862,             0.00014862
                     91,                0.43086,                0.18882,                0.90201,                0.99628,                0.78179,                0.91204,                0.80138,                 0.4717,                 0.7282,                0.93755,             0.00013625,             0.00013625,             0.00013625
                     92,                0.42912,                0.19268,                0.91437,                0.99639,                0.84259,                0.96371,                0.86981,                0.43903,                0.53622,                0.92368,             0.00012387,             0.00012387,             0.00012387
                     93,                0.43033,                0.18322,                0.91052,                0.99635,                0.78284,                0.92158,                0.82706,                0.45919,                0.69677,                0.92681,              0.0001115,              0.0001115,              0.0001115
                     94,                0.43513,                0.18926,                0.90357,                0.90457,                0.90369,                0.94341,                0.84927,                0.45252,                0.67076,                0.92321,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.42531,                0.17977,                0.90534,                0.94332,                 0.8724,                0.93175,                0.83001,                0.45275,                0.67904,                0.92738,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.42342,                0.17755,                0.90667,                0.96101,                0.84165,                0.91824,                0.82964,                0.45088,                0.72855,                0.92511,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.42482,                0.17729,                0.90225,                0.93884,                0.85295,                0.92173,                0.82865,                0.45691,                0.71276,                0.92803,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.41831,                0.17306,                0.89987,                0.94884,                0.87757,                0.93597,                0.84147,                0.45995,                0.73119,                0.92933,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.41757,                0.17071,                0.90004,                0.92795,                0.86989,                  0.927,                0.82345,                0.47699,                0.84505,                0.93914,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.41731,                0.16952,                0.90352,                0.91431,                0.87295,                0.92804,                0.82789,                0.46058,                0.73523,                0.93156,             2.4875e-05,             2.4875e-05,             2.4875e-05
